,,,,,,,,,,,,,,,,,,,,,
1,f_1,1. General identification information about the survey,,,,,,,,,,,,,,,,,,,
2,f_1_0,1.0. Country,HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia)
215,f_8_12,8.12. ID number of archive where survey doc. is stored,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
,,,,,,,,,,,,,,,,,,,,,
216,f_8_13,8.13. DOI for the documentation,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
,,,,,,,,,,,,,,,,,,,,,
217,f_8_14,"8.14. If the technical documentation is available, standard used for the documentation",-999.Not applicable,-999.Not applicable,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know
,,,,,,,,,,,,,,,,,,,,,
218,f_8_15,8.15. Language(s) in which technical survey documentation is available,-99.Information not available,-99.Information not available,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know
219,f_8_15a,8.15a. Language(s) of technical survey documentation in ISO code,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
,,,,,,,,,,,,,,,,,,,,,
220,f_8_16,8.16. Availability of the survey questionnaire for individual research use,2. Available through a COST Action member,5. Unknown availability,5. Unknown availability,5. Unknown availability,5. Unknown availability,5. Unknown availability,5. Unknown availability,5. Unknown availability,5. Unknown availability,5. Unknown availability,5. Unknown availability,5. Unknown availability,5. Unknown availability,5. Unknown availability,5. Unknown availability,5. Unknown availability,5. Unknown availability,5. Unknown availability,5. Unknown availability
,,,,,,,,,,,,,,,,,,,,,
221,f_8_17,"8.17. If available, where is the survey questionnaire stored",Data could be made available upon request from researchers; contact margareta.gregurovic@imin.hr,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
,,,,,,,,,,,,,,,,,,,,,
222,f_8_18,8.18. Identification number of the archive / repository where questionnaire is stored,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
,,,,,,,,,,,,,,,,,,,,,
223,f_8_19,8.19. DOI for the questionnaire ,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
,,,,,,,,,,,,,,,,,,,,,
224,f_8_20,8.20. Language(s) in which survey questionnaire is available,Croatian; English,Croatian,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know
225,f_8_20a,8.20a. Language(s) of survey questionnaire in ISO code,HRV; ENG,HRV,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
,,,,,,,,,,,,,,,,,,,,,
226,f_8_21,8.21. Comments relevant to variables in section 8 (on data availability),-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
,,,,,,,,,,,,,,,,,,,,,
227,f_9,"9. Data producers, owners, distributors and citations",,,,,,,,,,,,,,,,,,,
228,f_9_1,9.1. Institution/team responsible for data production,"Institute for Migration and Ethnic Studies, Zagreb","Institute for Migration and Ethnic Studies, Zagreb","Authors of the study (Saša Božić, Boško Kuzmanović, Barada Valerija) but in collaboration with other institutions (Friedrich Ebert Foundation, the Union of Autonomous Trade Unions Croatia)",Author of the study: Dragutin Babić,Author of the study: Dragutin Babić,Author of the study: Marko Mrakovčić,Authors of the study: Hrvoje Šlezak; Laura Šakaja,"Mreža centara za obrazovne politike (Network of Education Policy Centres, (NEPC)), Zagreb",Author of the study: Ljubica Kordić,Institute for Anthropological Research in Zagreb,Institute for Anthropological Research in Zagreb,The authors of the study: Dinka Čorkalo Biruški; Dean Ajduković,The authors of the study: Dinka Čorkalo Biruški; Dean Ajduković,The authors of the study: Dinka Čorkalo Biruški; Dean Ajduković,"The authors of the study: Mikloš Biro; Dean Ajduković; Dinka Čorkalo; Dino Đipa; Petar Milin; Harvey Weinstein; University of Zagreb, Department of Psychology, Faculty of Humanities and Social Sciences; Human Rights Center at the University of California, Berkeley, USA; Society for Psychological Assistance, Zagreb","The authors of the study: Mikloš Biro; Dean Ajduković; Dinka Čorkalo; Dino Đipa; Petar Milin; Harvey Weinstein; University of Zagreb, Department of Psychology, Faculty of Humanities and Social Sciences; Human Rights Center at the University of California, Berkeley, USA; Society for Psychological Assistance, Zagreb","The authors of the study: Ankica Kosić; Stefano Livi; Sapienza University, Rome, Italy",United Nations Development Programme (UNDP) in the Republic of Croatia,Serbian Democratic Forum
229,f_9_2,9.2. Institution/team that owns the data,"Institute for Migration and Ethnic Studies, Zagreb","Institute for Migration and Ethnic Studies, Zagreb",-9.Don't know,-9.Don't know,-9.Don't know,"Author: Mrakovičić, Marko; Ministry of Education and Science of the Republic of Croatia",-9.Don't know,"Forum za slobodu odgoja, NEPC, Zagreb",-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,"University of Zagreb, Department of Psychology; Ministry of Education and Science of Republic of Croatia; McArthur Foundation, USA; Council for Children of the Republic of Croatia","University of Zagreb, Department of Psychology; Ministry of Education and Science of Republic of Croatia; McArthur Foundation, USA; Council for Children of the Republic of Croatia","Sapienza University, Rome, Italy (the research was supported by an award obtained by Ankica Kosic from the European Commission within the framework of the Marie Curie Inter-European Fellowship in 2006-2008)",United Nations Development Programme (UNDP) in the Republic of Croatia,Serbian Democratic Forum
230,f_9_3,9.3. Institution/team distributing the dataset,"Institute for Migration and Ethnic Studies, Zagreb","Institute for Migration and Ethnic Studies, Zagreb",-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,"Forum za slobodu odgoja, NEPC, Zagreb",-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know
231,f_9_4,9.4. Contact details for queries/request,margareta.gregurovic@imin.hr ,margareta.gregurovic@imin.hr,sbozic@unizd.hr,dragutin.babic@imin.hr ,dragutin.babic@imin.hr ,mmrakovcic@pravri.hr,lsakaja@geog.pmf.hr,epijaca@fso.hr,kljubica@pravos.hr,tanja@inantro.hr; imklaric@hrzz.hr,anita.sujoldzic@inantro.hr,dinka.corkalo@ffzg.hr,dinka.corkalo@ffzg.hr,dinka.corkalo@ffzg.hr,dinka.corkalo@ffzg.hr,dinka.corkalo@ffzg.hr,anna.kosic@uniromal.it,slaven.klicek@gmail.com; jloncar@geog.pmf.hr,-9.Don't know
232,f_9_5,9.5. Citation for dataset,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know
233,f_9_6,9.6. Citation for technical documentation,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know,-9.Don't know
234,f_9_7,9.7. Citation(s) for any other publications,-9.Don't know,-9.Don't know,"Božić, Saša, Kuzmanović, Boško, Valerija, Barada (2013). Strani radnici u Hrvatskoj: porijeklo, status, orijentacije. Migracijske i etničke teme, 29(3): 367–404.","Babić, Dragutin (2008). Suživot Hrvata i Srba u Slavoniji: (Re)konstrukcija multietničkih lokalnih zajednica nakon ratnih sukoba. Zagreb: Golden marketing - Tehnička knjiga.","Babić, Dragutin (2010). Etnonacionalizam i rat u Hrvatskoj: Teorijski aspekti I istraživanje međunacionalnih odnosa u lokalnim zajednicama. Zagreb: Plejada.","Mrakovčić, Marko (2015). Etnonacionalizam, društvena (dez)integracija i pozicioniranje spram etnički »drugih« u višeetničkim područjima Hrvatske. Revija za sociologiju 45(1): 5-35.; Banovac, Boris (2009). Imagining the Others – Dynamics of Conflict and Peace in Multi-ethnic Areas in Croatia, Revija za sociologiju, 40(39) 3-4: 183-209.","Šlezak, Hrvoje, Šakaja, Laura (2012). Prostorni aspekti socijalne distance prema Romima. Hrvatski geografski glasnik 74(1): 91-109.","Korbar, Asja, Golubeva, Maria (2013). Living together, learning together. Problems of national minority education in Vukovar-Srijem and Istria County. Zagreb: Mreža centara za obrazovne politike (NEPC).","Kordić, Ljubica (2012). Minority languages and the language policy in the rural area of Baranya (Croatia) – A case study. Jezikoslovlje 13(2): 533-563.","Škarić-Jurić, Tatjana, Martinović Klarić, Irena, Smolej Narančić, Nina, Drmić, Stipe, Peričić Salihović, Marijana, Barać Lauc, Lovorka, Miličić, Jasna, Barabalić, Maja, Zajc, Matea and Janićijević, Branka (2007). Trapped between tradition and transition - Anthropological and epidemiological cross-sectional study of bayash Roma in Croatia, Croatian Medical Journal, 48 (5): 708-719.; Martinović Klarić, Irena (2009). Kromosom Y i potraga za novom domovinom - Tragom kromosomoa Y od južnoazijskih do balkanskih pustopoljina: genetička prošlost i zbilja Roma. Zagreb: Sveučilišna knjižara.","Škreblin, Lana and Sujoldžić, Anita (2003). Acculturation Process and Its Effects on Dietary Habits, Nutritional Behavior and Body-Image in Adolescents, Collegium Antropologicum 27 (2): 469-477.","Čorkalo Biruški, Dinka and Ajduković, Dean (2012). Škola kao prostor socijalne integracije djece i mladih u Vukovaru. Zagreb: Zaklada Friedrich Ebert.; Čorkalo Biruški, Dinka and Ajduković, Dean (2007). Separate schools – a divided community: The role of the school in post-war social reconstruction, Review of Psychology, 14 (2): 93-108.; Čorkalo Biruški, Dinka and Ajduković, Dean (2008). Stavovi učenika, roditelja i nastavnika prema školovanju: što se promijenilo tijekom šest godina u Vukovaru?, Migracijske i etničke teme, 24(3): 189-216.","Čorkalo Biruški, Dinka and Ajduković, Dean (2012). Škola kao prostor socijalne integracije djece i mladih u Vukovaru. Zagreb: Zaklada Friedrich Ebert.; Čorkalo Biruški, Dinka and Ajduković, Dean (2007). Separate schools – a divided community: The role of the school in post-war social reconstruction, Review of Psychology, 14 (2): 93-108.; Čorkalo Biruški, Dinka and Ajduković, Dean (2008). Stavovi učenika, roditelja i nastavnika prema školovanju: što se promijenilo tijekom šest godina u Vukovaru?, Migracijske i etničke teme, 24(3): 189-216.","Čorkalo Biruški, Dinka and Ajduković, Dean (2012). Škola kao prostor socijalne integracije djece i mladih u Vukovaru. Zagreb: Zaklada Friedrich Ebert.","Biro, Mikloš, Ajduković, Dean, Čorkalo, Dinka, Đipa, Dino, Milin, Petar and Weinstein, Harvey (2004). Attitudes Towards Justice and Social Reconstruction in Bosnia and Herzegovina and Croatia, IN: My neighbor, my enemy: Justice and community in the aftermath of mass atrocity. Stover, Eric and Weinstein, Harvey (eds). Cambridge: Cambridge University Press, pp. 183-205.; Čorkalo Biruški, Dinka and Ajduković, Dean (2009). Od dekonstrukcije do rekonstrukcije traumatizirane zajednice: primjer Vukovara, Revija za socijalnu politiku, 16 (1): 1-24.","Biro, Mikloš, Ajduković, Dean, Čorkalo, Dinka, Đipa, Dino, Milin, Petar and Weinstein, Harvey (2004). Attitudes Towards Justice and Social Reconstruction in Bosnia and Herzegovina and Croatia, IN: My neighbor, my enemy: Justice and community in the aftermath of mass atrocity. Stover, Eric and Weinstein, Harvey (eds). Cambridge: Cambridge University Press, pp. 183-205.; Čorkalo Biruški, Dinka and Ajduković, Dean (2009). Od dekonstrukcije do rekonstrukcije traumatizirane zajednice: primjer Vukovara, Revija za socijalnu politiku, 16 (1): 1-24.","Kosić, Ankica and  Livi, Stefano (2012). A Study of Perceived Parental Communication and Propensity towards Reconciliation among Youth in Vukovar (Croatia), Journal on Ethnopolitics and Minority Issues in Europe, 11 (4): 51-80.","Kliček, Slaven and Lončar, Jelena (2016). Analysis of migration trends and functions of areas inhabited by Roma: example of Međimurje county (Croatia) and the settlement of Kuršanec, Geographica Pannonica, 20 (4): 227-241.",http://www.sdf.hr/publikacije/Analysis%20of%20local%20reports.pdf; http://www.sdf.hr/publikacije/Final%20monitoring%20report.pdf
235,f_9_8,9.8. Comments,-999.Not applicable,'-999.Not applicable,Presumably the authors and the Friedrich Ebert Foundation are the institution/team that owns the data.,Presumably the author of the study is the one who owns the data.,Presumably the author of the study is the one who owns the data.,-999.Not applicable,Presumably the author of the study is the one who owns the data.,-999.Not applicable,Presumably the author of the study is the one who owns the data.,"Presumably the authors (Institute  for Anthropological Research, Zagreb), the Office for National Minorities of the Government of the Republic of Croatia, and the Croatian National Institute of Public Health are the institution/team that owns the data.","Presumably the authors (Institute  for Anthropological Research, Zagreb) are the ones who own the data.","Presumably the authors (University of Zagreb, Department of Psychology, Faculty of Humanities and Social Sciences) are the ones who own and distribute the data. The research was partially funded by  the MacArthur Foundation grant and done in collaboration with the Human Right Centre, University of California Berkeley.","Presumably the authors (University of Zagreb, Department of Psychology, Faculty of Humanities and Social Sciences) are the owns who own and distribute the data.","Presumably the authors (University of Zagreb, Department of Psychology, Faculty of Humanities and Social Sciences) are the ones who own and distribute the data.",Presumably the authors are the ones who own and distribute the data.,Presumably the authors are the ones who own and distribute the data.,Presumably the authors are the ones who own and distribute the data.,Presumably the authors are the ones who own and distribute the data.,'-999.Not applicable
,,,,,,,,,,,,,,,,,,,,,
236,f_10,10. Additional information,,,,,,,,,,,,,,,,,,,
237,f_10_1,10.1 Data quality (for internal use only),5.,5.,5.,4.,4.,5.,3.,4.,3.,5.,5.,8.,8.,8.,7.,7.,3.,5.,2.
,,,,,,,,,,,,,,,,,,,,,
238,f_10_2,10.2. Additional information on data quality,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
,,,,,,,,,,,,,,,,,,,,,
239,f_10_3,10.3. Sources of information,COST action member (M. Gregurović) was a member of the project team.,COST action member (M. Gregurović) was a member of the project team.,"Božić, Saša, Kuzmanović, Boško, Valerija, Barada (2013). Strani radnici u Hrvatskoj: porijeklo, status, orijentacije. Migracijske i etničke teme, 29(3): 367–404.; correspondence with the first author","Babić, Dragutin (2008). Suživot Hrvata i Srba u Slavoniji: (Re)konstrukcija multietničkih lokalnih zajednica nakon ratnih sukoba. Zagreb: Golden marketing - Tehnička knjiga.; correspondence with the author","Babić, Dragutin (2010). Etnonacionalizam i rat u Hrvatskoj: Teorijski aspekti I istraživanje međunacionalnih odnosa u lokalnim zajednicama. Zagreb: Plejada; correspondence with the author","Mrakovčić, Marko (2015). Etnonacionalizam, društvena (dez)integracija i pozicioniranje spram etnički »drugih« u višeetničkim područjima Hrvatske. Revija za sociologiju 45(1): 5-35.; Banovac, Boris (2009). Imagining the Others – Dynamics of Conflict and Peace in Multi-ethnic Areas in Croatia, Revija za sociologiju, 40(39) 3-4: 183-209.","Šlezak, Hrvoje, Šakaja, Laura (2012). Prostorni aspekti socijalne distance prema Romima. Hrvatski geografski glasnik 74(1): 91-109.; correspondence with one of the authors","Korbar, Asja, Golubeva, Maria (2013). Living together, learning together. Problems of national minority education in Vukovar-Srijem and Istria County. Zagreb: Mreža centara za obrazovne politike (NEPC).; informal correspondence with one of project leaders","Kordić, Ljubica (2012). Minority languages and the language policy in the rural area of Baranya (Croatia) – A case study. Jezikoslovlje 13(2): 533-563.","Škarić-Jurić, Tatjana, Martinović Klarić, Irena, Smolej Narančić, Nina, Drmić, Stipe, Peričić Salihović, Marijana, Barać Lauc, Lovorka, Miličić, Jasna, Barabalić, Maja, Zajc, Matea and Janićijević, Branka (2007). Trapped between tradition and transition - Anthropological and epidemiological cross-sectional study of bayash Roma in Croatia, Croatian Medical Journal, 48 (5): 708-719.; Martinović Klarić, Irena (2009). Kromosom Y i potraga za novom domovinom - Tragom kromosomoa Y od južnoazijskih do balkanskih pustopoljina: genetička prošlost i zbilja Roma. Zagreb: Sveučilišna knjižara.","Škreblin, Lana and Sujoldžić, Anita (2003). Acculturation Process and Its Effects on Dietary Habits, Nutritional Behavior and Body-Image in Adolescents, Collegium Antropologicum 27 (2): 469-477.","Čorkalo Biruški, Dinka and Ajduković, Dean (2012). Škola kao prostor socijalne integracije djece i mladih u Vukovaru. Zagreb: Zaklada Friedrich Ebert.; Čorkalo Biruški, Dinka and Ajduković, Dean (2007). Separate schools – a divided community: The role of the school in post-war social reconstruction, Review of Psychology, 14 (2): 93-108.; Čorkalo Biruški, Dinka and Ajduković, Dean (2008). Stavovi učenika, roditelja i nastavnika prema školovanju: što se promijenilo tijekom šest godina u Vukovaru?, Migracijske i etničke teme, 24(3): 189-216.; interview with the author","Čorkalo Biruški, Dinka and Ajduković, Dean (2012). Škola kao prostor socijalne integracije djece i mladih u Vukovaru. Zagreb: Zaklada Friedrich Ebert.; Čorkalo Biruški, Dinka and Ajduković, Dean (2007). Separate schools – a divided community: The role of the school in post-war social reconstruction, Review of Psychology, 14 (2): 93-108.; Čorkalo Biruški, Dinka and Ajduković, Dean (2008). Stavovi učenika, roditelja i nastavnika prema školovanju: što se promijenilo tijekom šest godina u Vukovaru?, Migracijske i etničke teme, 24(3): 189-216.; interview with the author","Čorkalo Biruški, Dinka and Ajduković, Dean (2012). Škola kao prostor socijalne integracije djece i mladih u Vukovaru. Zagreb: Zaklada Friedrich Ebert.; interview with the author","Biro, Mikloš, Ajduković, Dean, Čorkalo, Dinka, Đipa, Dino, Milin, Petar and Weinstein, Harvey (2004). Attitudes Towards Justice and Social Reconstruction in Bosnia and Herzegovina and Croatia, IN: My neighbor, my enemy: Justice and community in the aftermath of mass atrocity. Stover, Eric and Weinstein, Harvey (eds). Cambridge: Cambridge University Press, pp. 183-205.; Čorkalo Biruški, Dinka and Ajduković, Dean (2009). Od dekonstrukcije do rekonstrukcije traumatizirane zajednice: primjer Vukovara, Revija za socijalnu politiku, 16 (1): 1-24.; interview with the author","Biro, Mikloš, Ajduković, Dean, Čorkalo, Dinka, Đipa, Dino, Milin, Petar and Weinstein, Harvey (2004). Attitudes Towards Justice and Social Reconstruction in Bosnia and Herzegovina and Croatia, IN: My neighbor, my enemy: Justice and community in the aftermath of mass atrocity. Stover, Eric and Weinstein, Harvey (eds). Cambridge: Cambridge University Press, pp. 183-205.; Čorkalo Biruški, Dinka and Ajduković, Dean (2009). Od dekonstrukcije do rekonstrukcije traumatizirane zajednice: primjer Vukovara, Revija za socijalnu politiku, 16 (1): 1-24.; interview with the author","Kosić, Ankica and  Livi, Stefano (2012). A Study of Perceived Parental Communication and Propensity towards Reconciliation among Youth in Vukovar (Croatia), Journal on Ethnopolitics and Minority Issues in Europe, 11 (4): 51-80.","Kliček, Slaven and Lončar, Jelena (2016). Analysis of migration trends and functions of areas inhabited by Roma: example of Međimurje county (Croatia) and the settlement of Kuršanec, Geographica Pannonica, 20 (4): 227-241.",http://www.sdf.hr/publikacije/Analysis%20of%20local%20reports.pdf; http://www.sdf.hr/publikacije/Final%20monitoring%20report.pdf
,,,,,,,,,,,,,,,,,,,,,
240,f_10_4,10.4. Any other comments about the survey,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
,,,,,,,,,,,,,,,,,,,,,
241,f_11,11. Information on this compilation of metadata,,,,,,,,,,,,,,,,,,,
242,f_11_1,11.1. Person(s) filling in this file: ,"Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti","Margareta Gregurović; Simona Kuti"
243,f_11_2,11.2. Date when this file was last updated: ,2/8/2019,2/8/2019,2/8/2019,2/8/2019,2/8/2019,2/8/2019,2/8/2019,2/8/2019,2/8/2019,2/8/2019,2/8/2019,2/8/2019,2/8/2019,2/8/2019,2/8/2019,2/8/2019,2/8/2019,2/8/2019,2/8/2019
244,f_11_3,11.3 Time coverage for the surveys included in this file (at least since 1st January 2000): ,1/1/2000,1/1/2000,1/1/2000,1/1/2000,1/1/2000,1/1/2000,1/1/2000,1/1/2000,1/1/2000,1/1/2000,1/1/2000,1/1/2000,1/1/2000,1/1/2000,1/1/2000,1/1/2000,1/1/2000,1/1/2000,1/1/2000
245,f_11_4,"11.4. If time coverage is prior to 01/01/2000, please specify if inclusion of surveys prior to that date is comprehensive and exhaustive or includes only a selection of surveys of interest: ",-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
246,f_11_5,"11.5. For national surveys addressed to EMM respondents, please specify if you have covered all nation-wide surveys irrespective of sample size or only those with sample size 300 or larger: ",-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
247,f_11_6,"11.6. For subnational surveys addressed to EMM respondents, please specify if you have covered all nation-wide surveys irrespective of sample size or only those with sample size 150 or larger: ",We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.,We have covered all subnational surveys irrespective of sample size.
